file,meet_date,meet,course,official_source,contains_individual_200_free,notes
01_2025-01-25_OAPB_Senior_Open_SCY.html,2025-01-25/26,OAPB Senior Open,SCY,https://www.pacswim.org/userfiles/meets/documents/2616/2025-01-25-orinda-sc-senior-open-meet---results.htm,yes,Official HTML results with cumulative splits
02_2025-09-20_TCA_Senior_Open_SCY.pdf,2025-09-20/21,TCA Senior Open,SCY,https://www.pacswim.org/userfiles/meets/documents/2809/results-tca-september-senior-meet-09-20-21-2025.pdf,yes,Official full PDF with splits
03_2025-10-18_OAPB_Senior_Open_SCY.html,2025-10-18/19,OAPB Senior Open,SCY,https://www.pacswim.org/userfiles/meets/documents/2810/orinda-senior-open-sc.htm,yes,Official HTML results with cumulative splits
04_2025-11-22_TERA_Senior_Open_SCY.pdf,2025-11-22/23,TERA Senior Open,SCY,https://www.pacswim.org/userfiles/meets/documents/2812/tera-results.pdf,yes,Final-time-only report; no intermediate split rows
05_2025-10-25_BAC_Spooky_Fall_SCY.html,2025-10-25/26,TYR-BAC Spooky Fall Classic,SCY,https://www.pacswim.org/userfiles/meets/documents/2945/bac-results.htm,yes,Official HTML results
06_2025-02-01_ALTO_Valentine_Classic_SCY.pdf,2025-02-01/02,ALTO Valentine Classic,SCY,https://www.pacswim.org/userfiles/meets/documents/2749/feb-1-2-alto-results-correction.pdf,yes,Corrected official PDF
07_2025-03-29_ALTO_Rock_the_Blocks_SCY.pdf,2025-03-29/30,ALTO Rock the Blocks Invitational,SCY,https://www.pacswim.org/userfiles/meets/documents/2808/rtb-meet-results-updated.pdf,yes,Updated official PDF
08_2025-11-15_ALTO_Fall_Frolic_SCY.html,2025-11-15/16,ALTO Fall Frolic,SCY,https://www.pacswim.org/userfiles/meets/documents/2947/alto-results.htm,yes,Official HTML results
09_2025-12-06_ALTO_CBA_SCY.html,2025-12-06/07,ALTO C/B/A+ Meet,SCY,https://www.pacswim.org/userfiles/meets/documents/2951/alto-results.htm,yes,Official HTML results
10_2025-12-19_ALTO_Candy_Cane_SCY.html,2025-12-19/21,ALTO Candy Cane Classic,SCY,https://www.pacswim.org/userfiles/meets/documents/2981/altos-candy-cane-lane-meet.htm,yes,Official HTML results
11_2024_CIF_State_Championships_SCY.pdf,2024-05-09/11,CIF State Swimming and Diving Championships,SCY,https://www.pacswim.org/userfiles/meets/documents/2674/2024-cif-statemeet-final-results080485.pdf,yes,Official full PDF
12_2024_NCS_Championships_full_SCY.pdf,2024-05-03/04,NCS Championships,SCY,https://www.pacswim.org/userfiles/meets/documents/2662/ncs-full-results.pdf,yes,Official full PDF
13_2025_PASA_Summer_Palooza_full_SCY.pdf,2025-07-20,PASA Summer Palooza Championships,SCY,https://www.pacswim.org/userfiles/meets/documents/2937/25palooza-results.pdf,yes,Official full PDF
14_2025_NCS_Championships_full_SCY.pdf,2025-05-09/10,NCS Championships,SCY,https://www.pacswim.org/userfiles/meets/documents/2878/ncsresultsfinalswithallsplitsforpacswim.pdf,yes,Official full PDF with all splits
