swimmer_id,meet_id,meet_name,meet_date,age,sex_category,event,course,round,seed_time,final_time,split_50,split_100,split_150,split_200,data_source,meet_level,notes
S001,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:37.71,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 1"
S002,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:39.21,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 2"
S003,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:39.35,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 3"
S004,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:40.77,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 4"
S005,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:40.89,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 5"
S006,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:41.17,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 6"
S007,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:41.49,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 7"
S008,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:41.50,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 8; same name in 2 meets with different team listings; treated as one person, verify when splits arrive"
S009,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:41.80,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 9"
S010,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:41.93,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 10"
S011,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:42.49,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 11"
S012,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:42.73,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 12"
S013,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:42.94,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 13"
S014,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:42.95,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 14"
S015,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:43.00,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 15"
S016,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:43.51,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 16"
S017,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:43.65,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 17"
S018,2026_PC_SC_SENIOR_OPEN,Pacific Swimming SC Senior Open,2025-10-18,,M,200 FR,SCY,timed_final,,1:43.77,,,,,"SwimCloud event page saved to PDF 2026-08-31, https://www.swimcloud.com/results/358817/event/16/ (no splits, ages or seed times published there)",invitational,"dates Oct 18-19 2025, Soda Aquatic Center, Moraga CA; timed finals; swim day within meet unknown; place 18"
