parameter,value,race_time,P1,P2,P3,P4,first_half_frac,shape_spread,v1,k,baseline
E0,30192.0,104.43731081253983,0.24999999731516034,0.24999999973002549,0.25000000165259856,0.2500000013022157,0.49999999704518583,4.337438214152556e-09,1.751098343505561,286.6375,50320.0
E0,32708.0,103.85944104150919,0.24999999979273826,0.249999999955182,0.2500000003953269,0.24999999985675297,0.49999999974792025,6.02588617892863e-10,1.7608413671177472,286.6375,50320.0
E0,35224.0,103.28838281664753,0.2500000022288519,0.24999999929986652,0.2499999979816327,0.2500000004896488,0.5000000015287184,4.2472191874587395e-09,1.7705766455283736,286.6375,50320.0
E0,37740.0,102.72404487534776,0.24999999997337985,0.25000000317697624,0.2500000021094425,0.24999999474020135,0.5000000031503561,8.436774889819532e-09,1.7803037277337748,286.6375,50320.0
E0,40256.0,102.16633665207588,0.24999999992985175,0.2500000031231435,0.2500000021143885,0.24999999483261623,0.5000000030529953,8.290527292453831e-09,1.7900220957721789,286.6375,50320.0
E0,42772.0,101.61516830834232,0.24999999974323242,0.24999999976739548,0.249999998591496,0.250000001897876,0.4999999995106279,3.3063800308763547e-09,1.7997313120901133,286.6375,50320.0
E0,45288.0,101.0704507612968,0.24999999827388256,0.2500000014048514,0.25000000292357555,0.2499999973976905,0.499999999678734,5.5258850550909955e-09,1.8094309452978141,286.6375,50320.0
E0,47804.0,100.53209571003035,0.24999999230536118,0.2500000144926582,0.24999998536149565,0.2500000078404849,0.5000000067980194,2.913116253777659e-08,1.81912059364874,286.6375,50320.0
E0,50320.0,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,0.5000000101197629,1.28583759473333e-08,1.828799662411968,286.6375,50320.0
E0,52836.0,99.47412394427097,0.2500000021812506,0.2499999977532733,0.25000000005732287,0.2500000000081533,0.49999999993452393,4.4279773181443716e-09,1.838468047296678,286.6375,50320.0
E0,55352.0,98.95433474584645,0.24999999999707231,0.2499999999990913,0.2500000000076995,0.2499999999961368,0.4999999999961636,1.1562695245714849e-11,1.848125203123736,286.6375,50320.0
E0,57868.0,98.44056311410131,0.25000000824889707,0.25000000366473685,0.24999999300293593,0.24999999508343024,0.5000000119136339,1.524596113244847e-08,1.857770701228039,286.6375,50320.0
E0,60384.0,97.93272498247848,0.2500000092354005,0.250000003920622,0.24999999211028584,0.2499999947336918,0.5000000131560225,1.7125114659677365e-08,1.8674043153280973,286.6375,50320.0
E0,62900.0,97.4307371832854,0.25000000005691236,0.2500000028279467,0.25000000283597357,0.24999999427916741,0.500000002884859,8.55680615252652e-09,1.8770257235592505,286.6375,50320.0
E0,65416.0,96.93451746093979,0.2499999999960169,0.24999999990370966,0.2500000001016386,0.2499999999986349,0.49999999989972654,1.9792892325121159e-10,1.8866344496593388,286.6375,50320.0
E0,67932.0,96.4439844841666,0.2499999982047154,0.25000000196322064,0.24999999934005632,0.2500000004920076,0.5000000001679361,3.7585052292676835e-09,1.896230255224579,286.6375,50320.0
E0,70448.0,95.95905785535547,0.24999999947923526,0.25000000238996467,0.24999999831742542,0.2499999998133746,0.5000000018691999,4.072539250277174e-09,1.9058127962929277,286.6375,50320.0
E0,72964.0,95.47965811873225,0.24999999718525223,0.249999999286835,0.2500000032091732,0.25000000031873965,0.49999999647208726,6.023920973152741e-09,1.9153818275263064,286.6375,50320.0
E0,75480.0,95.00570677736756,0.249999999243497,0.24999999815220875,0.2499999992635973,0.2500000033406969,0.4999999973957058,5.188488139129532e-09,1.9249370038575733,286.6375,50320.0
E0,77996.0,94.53712627804661,0.24999999800995495,0.24999999893579286,0.24999999975600082,0.25000000329825134,0.4999999969457478,5.288296384131641e-09,1.9344781109368892,286.6375,50320.0
E0,80512.0,94.07384003859553,0.2500000000101742,0.24999999992020916,0.250000000078074,0.2499999999915426,0.49999999993038335,1.5786483231750026e-10,1.9440048361747269,286.6375,50320.0
R,1000.0,105.92760237786803,0.25000000891802304,0.24999999432184336,0.24999999749212531,0.24999999926800837,0.5000000032398664,1.4596179681580779e-08,1.7264621248002308,286.6375,1250.0
R,1025.0,105.26604300219469,0.24999999955886065,0.24999999595345235,0.2499999989998578,0.25000000548782925,0.499999995512313,9.53437689910075e-09,1.7373123859029203,286.6375,1250.0
R,1050.0,104.62164388353273,0.2500000000887251,0.25000000001371936,0.24999999776451895,0.2500000021330366,0.5000000001024445,4.368517630970459e-09,1.7480130606500712,286.6375,1250.0
R,1075.0,103.99362287578874,0.24999999978721948,0.2499999998349676,0.2500000003376248,0.2500000000401882,0.4999999996221871,5.504053324223435e-10,1.758569372797862,286.6375,1250.0
R,1100.0,103.3812484602524,0.24999999919180982,0.24999999928515093,0.24999999800629408,0.25000000351674523,0.49999999847696075,5.510451150936291e-09,1.768986187679096,286.6375,1250.0
R,1125.0,102.78383552808174,0.25000000269351613,0.25000000001808936,0.24999999874848797,0.24999999853990662,0.5000000027116055,4.153609511892142e-09,1.7792680832549217,286.6375,1250.0
R,1150.0,102.20074159202284,0.2500000018452706,0.24999999928196875,0.24999999880902232,0.25000000006373824,0.5000000011272394,3.0362482805745827e-09,1.789419487582487,286.6375,1250.0
R,1175.0,101.63136337241286,0.2499999996349588,0.2500000039305364,0.24999999766080183,0.249999998773703,0.5000000035654952,6.269734564856577e-09,1.799444523802152,286.6375,1250.0
R,1200.0,101.07513371634512,0.250000011096761,0.25000001385178294,0.2500000000339508,0.24999997501750532,0.5000000249485439,3.8834277626964564e-08,1.809347018978257,286.6375,1250.0
R,1225.0,100.53151881123013,0.2500000001195905,0.250000000370164,0.25000000176750825,0.24999999774273715,0.5000000004897545,4.024771099730984e-09,1.8191309757879441,286.6375,1250.0
R,1250.0,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,0.5000000101197629,1.28583759473333e-08,1.828799662411968,286.6375,1250.0
R,1275.0,99.48014978784447,0.24999999992768474,0.2500000029601048,0.24999999904690592,0.24999999806530454,0.5000000028877896,4.894800231802776e-09,1.8383567017431879,286.6375,1250.0
R,1300.0,98.97147315955695,0.249999999796259,0.24999999903492687,0.2500000002211904,0.2500000009476237,0.49999999883118584,1.912696834249772e-09,1.8478051736606007,286.6375,1250.0
R,1325.0,98.47356227822688,0.2499999999162005,0.2499999987848679,0.25000000082745955,0.2500000004714721,0.49999999870106837,2.042591651374437e-09,1.8571482114620008,286.6375,1250.0
R,1350.0,97.98601645395809,0.2500000055245131,0.24999999738958234,0.24999999596200487,0.2500000011238997,0.5000000029140954,9.562508257454638e-09,1.866388721340053,286.6375,1250.0
R,1375.0,97.50845621820537,0.2500000003537835,0.24999999944299978,0.2500000007785125,0.24999999942470422,0.4999999997967833,1.353808259940692e-09,1.8755296395212089,286.6375,1250.0
R,1400.0,97.04052187552502,0.25,0.25,0.25,0.25,0.5,0.0,1.8845735417064458,286.6375,1250.0
R,1425.0,96.58187217343284,0.25,0.25,0.24999999999999997,0.24999999999999997,0.5,2.7755575615628914e-17,1.8935230378595365,286.6375,1250.0
R,1450.0,96.13218308247909,0.24999999835372524,0.25000000190257105,0.2500000006377584,0.2499999991059453,0.5000000002562963,3.548845800560585e-09,1.9023806111567891,286.6375,1250.0
R,1475.0,95.69114667434312,0.2500000019248612,0.2499999998290929,0.24999999808804496,0.250000000158001,0.5000000017539541,3.836816253599551e-09,1.911148574844695,286.6375,1250.0
R,1500.0,95.25847008898602,0.2500000000308468,0.2500000002896126,0.2499999998361435,0.2499999998433971,0.5000000003204594,4.5346912336263756e-10,1.9198292792924028,286.6375,1250.0
Cd,0.22499999999999998,89.89994769864909,0.2499999994524473,0.24999999970301245,0.250000000283727,0.2500000005608134,0.4999999991554598,1.1083660933497441e-09,2.0342614771431493,214.978125,0.3
Cd,0.23249999999999998,91.00166383630837,0.2499999972225576,0.24999999965318248,0.2500000026997363,0.25000000042452364,0.4999999968757401,5.477178710577846e-09,2.009633608026276,222.1440625,0.3
Cd,0.24,92.080235612672,0.24999999934395,0.2500000022160954,0.24999999908470005,0.2499999993552546,0.5000000015600454,3.131395365230105e-09,1.9860939675391742,229.31000000000003,0.3
Cd,0.2475,93.13684519218091,0.24999999959696503,0.2500000031845686,0.2500000000589575,0.24999999715950877,0.5000000027815337,6.0250598399314015e-09,1.9635623250655412,236.47593750000001,0.3
Cd,0.255,94.17258085281179,0.2500000001185135,0.2500000010917198,0.24999999781212986,0.25000000097763664,0.5000000012102332,3.279589960714091e-09,1.9419665284435559,243.64187500000003,0.3
Cd,0.26249999999999996,95.18844695211214,0.2499999997892498,0.25000000059229305,0.24999999989080182,0.2499999997276553,0.5000000003815428,8.646377502863345e-10,1.9212415582972178,250.8078125,0.3
Cd,0.27,96.18537258334071,0.2500000000187126,0.2500000019296739,0.24999999953832738,0.24999999851328625,0.5000000019483866,3.4163876727610898e-09,1.9013286019956237,257.97375,0.3
Cd,0.27749999999999997,97.16421912608853,0.2500000001811967,0.24999999851925206,0.24999999972633297,0.2500000015732181,0.49999999870044876,3.0539660522688195e-09,1.8821743385816787,265.1396875,0.3
Cd,0.285,98.12578685738306,0.24999999876426493,0.25000000015694696,0.2500000002276395,0.25000000085114865,0.4999999989212119,2.0868837213861013e-09,1.8637302870219468,272.30562499999996,0.3
Cd,0.2925,99.07082076265657,0.25000000513267706,0.24999999706707685,0.24999999837847264,0.24999999942177348,0.5000000021997539,8.065600215489965e-09,1.8459521667178753,279.47156250000006,0.3
Cd,0.3,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,0.5000000101197629,1.28583759473333e-08,1.828799662411968,286.6375,0.3
Cd,0.3075,100.91402073440612,0.24999999974488385,0.24999999976376575,0.24999999856727964,0.2500000019240708,0.4999999995086496,3.356791150599392e-09,1.8122357909803366,293.80343750000003,0.3
Cd,0.315,101.81344356474838,0.2500000015715549,0.2500000033775398,0.2499999985797884,0.24999999647111695,0.5000000049490947,6.9064228502835334e-09,1.7962264357955184,300.969375,0.3
Cd,0.3225,102.69885370547627,0.25000000805495853,0.24999999958696104,0.24999999496149258,0.24999999739658793,0.5000000076419195,1.3093465950353433e-08,1.7807403637834869,308.13531250000005,0.3
Cd,0.33,103.5707858872497,0.25000000737490147,0.24999999930833752,0.24999999593013944,0.24999999738662163,0.500000006683239,1.1444762026968647e-08,1.7657488358174762,315.30125000000004,0.3
